2016-11-28 22:49:46,519 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cloudDay05:cloudDay05:0.0.1-SNAPSHOT @ /Users/lin/work/bigdatasource/cloudDay05/pom.xml.
2016-11-28 22:50:59,402 [Worker-4] WARN  o.e.a.i.i.DefaultRepositoryEventDispatcher - Failed to dispatch repository event to org.eclipse.m2e.core.internal.embedder.EclipseRepositoryListener: null
2016-11-28 22:51:24,796 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cloudDay05:cloudDay05:0.0.1-SNAPSHOT @ /Users/lin/work/bigdatasource/cloudDay05/pom.xml.
2016-11-28 22:51:24,821 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-28 22:51:24,839 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-11-28 22:51:24,858 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-28 22:51:24,859 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lin/work/bigdatasource/cloudDay05/src/test/resources
2016-11-28 22:51:27,707 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-28 22:51:27,726 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-11-28 22:51:27,732 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-28 22:51:27,738 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lin/work/bigdatasource/cloudDay05/src/test/resources
2016-11-28 23:18:36,699 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-28 23:18:36,733 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-11-28 23:18:36,751 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-28 23:18:36,753 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lin/work/bigdatasource/cloudDay05/src/test/resources
2016-11-28 23:18:37,945 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-28 23:18:37,954 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-11-28 23:18:37,962 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-28 23:18:37,964 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lin/work/bigdatasource/cloudDay05/src/test/resources
